,country_iso_code,Num-ASNs
0,US,1763
1,CZ,337
2,RU,142
3,GB,116
4,DE,94
5,NL,56
6,CA,45
7,UA,44
8,IT,41
9,SE,41
10,AU,39
11,ES,35
12,CH,31
13,LT,28
14,FR,27
15,AT,26
16,DK,26
17,BG,20
18,RO,18
19,AE,15
20,NO,15
21,SC,12
22,NZ,12
23,ZA,9
24,LV,9
25,EE,9
26,AZ,8
27,IN,8
28,CY,8
29,AG,7
30,BE,7
31,HK,7
32,IL,6
33,IR,6
34,PL,6
35,MY,5
36,PK,5
37,TW,5
38,SI,5
39,AM,5
40,GR,5
41,TR,4
42,CN,4
43,JP,4
44,KZ,4
45,IE,4
46,LU,4
47,SG,4
48,FI,4
49,ME,3
50,GE,3
51,MD,3
52,BZ,3
53,ID,3
54,PH,3
55,GU,2
56,PS,2
57,GI,2
58,BY,2
59,VU,2
60,BD,2
61,BQ,2
62,AL,2
63,TH,2
64,PA,2
65,BB,2
66,HU,1
67,RE,1
68,MQ,1
69,BA,1
70,JO,1
71,IS,1
72,RS,1
73,MT,1
74,TZ,1
75,KG,1
76,JM,1
77,BH,1
78,SK,1
79,HR,1
