1,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ
2,Vacoas-Phoenix,Vacoas-Phoenix,Vacoas-Phoenix,Vacoas-Phoenix,Vacoas-Phoenix,瓦科阿 - 菲尼克斯,Vacoas-Phoenix,Vacoas-Phoenix,Vacoas-Phoenix
3,New York City,New York City,Нью-Йорк,ニューヨーク,New-York,紐約市,New York,New York,New York
4,Oceania,Ozeanien,Океания,オセアニア,Océanie,大洋洲,Oceanía,Oceánie,Oceania
5,Asia,Asien,Азия,アジア,Asie,亚洲,Asia,Asie,Asia
6,North America,Nordamerika,Северная Америка,北アメリカ,Amérique du Nord,北美洲,Norteamérica,Severní Amerika,America del Nord
7,Europe,Europa,Европа,ヨーロッパ,Europe,欧洲,Europa,Evropa,Europa
8,South America,Südamerika,Южная Америка,南アメリカ,Amérique du Sud,南美洲,Sudamérica,Jižní Amerika,America del Sud
9,Africa,Afrika,Африка,アフリカ,Afrique,非洲,África,Afrika,Africa
10,Antarctica,Antarktis,Антарктида,南極,Antarctique,南极洲,Antártida,Antarktida,Antartide
